date,date,last,open,high,low,vol,var_%,close
2021-12-04,2021-12-04,"49.195,2",53620.7,53847.2,42587.8,168.0,-8.27,49195.2
2021-12-05,2021-12-05,"49.405,5",49196.4,49689.3,47797.8,72.03,0.43,49405.5
2021-12-06,2021-12-06,"50.562,1",49412.1,50913.3,47237.9,89.68,2.34,50562.1
2021-12-07,2021-12-07,"50.595,2",50547.4,51918.6,50070.9,56.29,0.07,50595.2
2021-12-08,2021-12-08,"50.473,9",50596.6,51204.7,48700.7,55.59,-0.24,50473.9
2021-12-09,2021-12-09,"47.596,6",50477.6,50790.2,47341.9,58.69,-5.7,47596.6
2021-12-10,2021-12-10,"47.137,2",47591.7,49974.8,47007.1,68.06,-0.97,47137.2
2021-12-11,2021-12-11,"49.314,5",47138.4,49487.0,46834.0,45.23,4.62,49314.5
2021-12-12,2021-12-12,"50.081,0",49332.5,50779.2,48670.5,40.3,1.55,50081.0
2021-12-13,2021-12-13,"46.703,6",50075.9,50196.1,45848.2,80.37,-6.74,46703.6
2021-12-14,2021-12-14,"48.366,5",46709.8,48635.0,46338.3,62.54,3.56,48366.5
2021-12-15,2021-12-15,"48.871,5",48366.2,49477.9,46572.6,80.28,1.04,48871.5
2021-12-16,2021-12-16,"47.628,2",48876.6,49387.8,47543.9,48.2,-2.54,47628.2
2021-12-17,2021-12-17,"46.172,2",47630.4,47997.2,45523.8,67.5,-3.06,46172.2
2021-12-18,2021-12-18,"46.856,2",46171.8,47330.2,45513.4,36.93,1.48,46856.2
2021-12-19,2021-12-19,"46.704,5",46855.7,48270.2,46438.4,44.05,-0.32,46704.5
2021-12-20,2021-12-20,"46.895,2",46703.4,47488.9,45577.3,57.53,0.41,46895.2
2021-12-21,2021-12-21,"48.902,0",46900.1,49306.1,46654.0,57.88,4.28,48902.0
2021-12-22,2021-12-22,"48.599,7",48898.7,49540.3,48449.7,40.89,-0.62,48599.7
2021-12-23,2021-12-23,"50.801,0",48599.6,51355.6,48053.4,56.24,4.53,50801.0
2021-12-24,2021-12-24,"50.786,1",50807.4,51795.3,50428.4,45.97,-0.03,50786.1
2021-12-25,2021-12-25,"50.406,4",50789.6,51140.2,50196.8,26.67,-0.75,50406.4
2021-12-26,2021-12-26,"50.779,9",50404.0,51247.0,49527.0,32.34,0.74,50779.9
2021-12-27,2021-12-27,"50.678,2",50783.6,52016.3,50459.0,43.9,-0.2,50678.2
2021-12-28,2021-12-28,"47.545,2",50703.4,50703.8,47345.7,74.39,-6.18,47545.2
2021-12-29,2021-12-29,"46.461,7",47548.4,48121.7,46127.8,63.92,-2.28,46461.7
